pseudonyme,adresse_email,mot_de_passe
ombre_lune,ombre.lune@ombremail.net,Jhbvjchf$X
faucon_rouge,faucon.rouge@ombremail.net,dceS!Y4Wcd
serpent_mer,serpent.mer@ombremail.net,QdMJmr2*v&
loup_blanc,loup.blanc@ombremail.net,uQGQ5DqYwy
aigle_nuit,aigle.nuit@ombremail.net,fY!qTdz3MV
renard_feu,renard.feu@ombremail.net,kpHpq3dg9h
corbeau_aube,corbeau.aube@ombremail.net,P4ayw2$xXv
tigre_vent,tigre.vent@ombremail.net,Lg#BBHJv8S
dragon_eau,dragon.eau@ombremail.net,$yDJEWTEkk
hibou_neige,hibou.neige@ombremail.net,849Y$kb&Kk
